Rank,Landing Page,Sessions,Sessions %,Active Users,New Users,Avg Engagement,Key Events
53,/cannabis-thc-extraction-centrifuge,206,0.36%,187,176,1m 02s,2
54,/sharples-p-3000-decanter,198,0.34%,181,159,43s,4
55,/disc-centrifuge-friction-clutch,194,0.34%,174,165,49s,0
56,/alfa-laval-g2-40-decanter,189,0.33%,179,170,1m 06s,1
57,/disc-stack-centrifuge-vibration,178,0.31%,150,136,2m 02s,0
58,/disc-stack-centrifuge-remove-metals-ash-used-oil,175,0.30%,148,141,1m 06s,1
59,/disadvantages-disc-stack-centrifuge,173,0.30%,147,117,1m 48s,1
60,/sharples-p-3400-decanter,164,0.28%,139,119,52s,1
61,/industrial-centrifuge-sample-testing,163,0.28%,102,73,31s,2
62,/alfa-laval-mab-103-centrifuge,157,0.27%,138,126,1m 08s,5
63,/crude-oil-tank-bottom-recovery-centrifuge,155,0.27%,124,117,1m 29s,0
64,/alfa-laval-mab-104-centrifuge,153,0.26%,142,136,36s,0
65,/alfa-laval-btpx-205-biotech-centrifuge,152,0.26%,125,99,1m 21s,1
66,/used-oil-centrifuge,152,0.26%,115,101,43s,1
67,/alfa-laval-nx-314-decanter-centrifuge,148,0.26%,125,108,1m 11s,2
68,/disc-centrifuge-cannot-reach-operating-speed,144,0.25%,132,124,1m 12s,1
69,/alfa-laval-mopx-207-centrifuge,135,0.23%,121,102,1m 14s,5
70,/fish-processing-centrifuge,132,0.23%,114,110,47s,1
71,/can-a-centrifuge-separate-salt-from-water,130,0.22%,118,117,56s,0
72,/explosion-proof-centrifuge,127,0.22%,118,103,1m 12s,0
73,/alfa-laval-lapx-404-disc-centrifuge,126,0.22%,94,,39s,
74,/waste-oil-centrifuge-case-study-marine-and-industrial-waste-oil-recovery,121,0.21%,102,,20s,
75,/liquid-humus-centrifuge,120,0.21%,105,,21s,
76,/alfa-laval-whpx-513,119,0.21%,96,75,1m 43s,1
77,/disc-stack-centrifuge-installation,115,0.20%,95,80,1m 22s,1
78,/decanter-centrifuge-applications,112,0.19%,101,89,59s,0
79,/disc-stack-centrifuge-mechanical-issues-fixes,111,0.19%,99,86,1m 13s,0
80,/hydraulic-oil-centrifuge,111,0.19%,91,83,1m 23s,1
81,/alfa-laval-industrial-centrifuges,109,0.19%,98,89,1m 44s,2
82,/disc-stack-centrifuge-capacity,107,0.18%,100,73,1m 14s,0
83,/manure-centrifuge-separator,101,0.17%,81,76,44s,1
84,/waste-oil-emulsion-centrifuge,97,0.17%,85,81,51s,0
85,/disc-stack-centrifuge-bad-separation,95,0.16%,77,63,1m 53s,0
86,/cutting-oil-centrifuge,93,0.16%,72,65,36s,0
87,/alfa-laval-clara-20-food-grade-centrifuge,92,0.16%,78,71,38s,0
88,/centrifuge-product-loss-during-discharge,91,0.16%,76,69,1m 54s,0
89,/disc-stack-centrifuge-rental,91,0.16%,79,60,1m 40s,6
90,/explosion-proof-stainless-steel-centrifuge,88,0.15%,74,67,56s,3
91,/yellow-grease-purification-centrifuge,83,0.14%,70,66,55s,0
92,/food-grade-centrifuge,82,0.14%,80,77,36s,0
93,/alfa-laval-mab-centrifuge,79,0.14%,66,55,56s,1
94,/decanter-centrifuge-rental,79,0.14%,73,58,1m 34s,5
95,/hemp-biomass-centrifuge,79,0.14%,71,64,1m 01s,0
96,/disc-centrifuge-troubleshooting-paring-disc-block,76,0.13%,60,49,1m 23s,0
97,/centrifuge-clogged-bowl-discs,75,0.13%,58,53,42s,0
98,/used-oil-centrifuge-plant,73,0.13%,55,,41s,
99,/disc-stack-centrifuge-performance,71,0.12%,47,,58s,
100,/pyrolysis-oil-centrifuge,69,0.12%,64,,49s,
